"Variable","Group","N","Mean","Median","SD","Min","Max","Skewness","Best_Distribution"
"lipids1","0",987,0.957,0.91,0.387,0.2,2.73,0.934,"lognormal"
"lipids1","1",160,0.985,0.98,0.37,0.27,2.19,0.528,"lognormal"
"lipids1",NA,0,NA,NA,NA,Inf,-Inf,NA,NA
"lipids2","0",987,4.461,4.33,0.911,2.43,8.82,0.793,"lognormal"
"lipids2","1",160,4.764,4.63,0.962,3.08,8.4,0.885,"lognormal"
"lipids2",NA,0,NA,NA,NA,Inf,-Inf,NA,NA
"lipids3","0",987,1.104,1.06,0.277,0.41,2.01,0.582,"lognormal"
"lipids3","1",160,1.115,1.09,0.266,0.62,2,0.625,"lognormal"
"lipids3",NA,0,NA,NA,NA,Inf,-Inf,NA,NA
"lipids4","0",987,2.928,2.81,0.875,0.82,7.01,0.864,"lognormal"
"lipids4","1",160,3.198,3.125,0.945,1.36,6.59,0.766,"lognormal"
"lipids4",NA,0,NA,NA,NA,Inf,-Inf,NA,NA
"lipids5","0",987,0.431,0.433,0.155,0.09,1.24,1.167,"lognormal"
"lipids5","1",160,0.445,0.433,0.157,0.12,1,0.645,"normal"
"lipids5",NA,0,NA,NA,NA,Inf,-Inf,NA,NA
